fecha,barrio,formacion,total,mujer,varon
"2020-12-01","Buenavista","Menores de 16","2791","1319","1472"
"2020-12-01","Buenavista","No sabe leer ni escribir","1","1",
"2020-12-01","Buenavista","Sin Estudios","55","32","23"
"2020-12-01","Buenavista","Enseñanza Primaria incomp","232","106","126"
"2020-12-01","Buenavista","Enseñanza Secundaria","1340","525","815"
"2020-12-01","Buenavista","FP1 Grado Medio","773","328","445"
"2020-12-01","Buenavista","FP2 Grado Superior","803","332","471"
"2020-12-01","Buenavista","B.Superior.BUP,COU","1146","533","613"
"2020-12-01","Buenavista","Otras titulaciones medias","52","28","24"
"2020-12-01","Buenavista","Diplomados","681","489","192"
"2020-12-01","Buenavista","Arquitecto, Ingeniero Tec","223","64","159"
"2020-12-01","Buenavista","Licenciado Universitario","1445","884","561"
"2020-12-01","Buenavista","Estudios superiores no Un","37","14","23"
"2020-12-01","Buenavista","Doctorado Postgrado","375","233","142"
"2020-12-01","Centro","Menores de 16","4370","2151","2219"
"2020-12-01","Centro","No sabe leer ni escribir","143","98","45"
"2020-12-01","Centro","Sin Estudios","1743","1081","662"
"2020-12-01","Centro","Enseñanza Primaria incomp","4578","2604","1974"
"2020-12-01","Centro","Enseñanza Secundaria","7659","3893","3766"
"2020-12-01","Centro","FP1 Grado Medio","1628","698","930"
"2020-12-01","Centro","FP2 Grado Superior","1501","627","874"
"2020-12-01","Centro","B.Superior.BUP,COU","4283","2139","2144"
"2020-12-01","Centro","Otras titulaciones medias","465","308","157"
"2020-12-01","Centro","Diplomados","646","453","193"
"2020-12-01","Centro","Arquitecto, Ingeniero Tec","194","66","128"
"2020-12-01","Centro","Licenciado Universitario","3004","1742","1262"
"2020-12-01","Centro","Estudios superiores no Un","66","36","30"
"2020-12-01","Centro","Doctorado Postgrado","590","311","279"
"2020-12-01","Centro","Valor Desconocido","68","35","33"
"2020-12-01","El Bercial","Menores de 16","5228","2531","2697"
"2020-12-01","El Bercial","No sabe leer ni escribir","37","25","12"
"2020-12-01","El Bercial","Sin Estudios","479","294","185"
"2020-12-01","El Bercial","Enseñanza Primaria incomp","1334","705","629"
"2020-12-01","El Bercial","Enseñanza Secundaria","3434","1593","1841"
"2020-12-01","El Bercial","FP1 Grado Medio","977","432","545"
"2020-12-01","El Bercial","FP2 Grado Superior","1238","474","764"
"2020-12-01","El Bercial","B.Superior.BUP,COU","2412","1223","1189"
"2020-12-01","El Bercial","Otras titulaciones medias","173","100","73"
